"playerID","name"
"560","Sergio Romero"
"557","Matteo Darmian"
"548","Daley Blind"
"628","Chris Smalling"
"1006","Luke Shaw"
"551","Morgan Schneiderlin"
"654","Michael Carrick"
"554","Juan Mata"
"555","Memphis Depay"
"631","Ashley Young"
"629","Wayne Rooney"
"552","Ander Herrera"
"627","Antonio Valencia"
"907","Bastian Schweinsteiger"
"651","Michel Vorm"
"638","Kyle Walker"
"639","Toby Alderweireld"
"640","Jan Vertonghen"
"660","Ben Davies"
"914","Nabil Bentaleb"
"643","Eric Dier"
"642","Mousa Demb�l�"
"646","Christian Eriksen"
"648","Nacer Chadli"
"647","Harry Kane"
"649","Ryan Mason"
"644","Erik Lamela"
"645","Dele Alli"
"455","Artur Boruc"
"456","Simon Francis"
"458","Steve Cook"
"457","Tommy Elphick"
"459","Charlie Daniels"
"461","Matt Ritchie"
"460","Andrew Surman"
"462","Dan Gosling"
"466","Marc Pugh"
"465","Joshua King"
"468","Callum Wilson"
"957","Yann Kermorgant"
"472","Eunan O&#039;Kane"
"464","Max Gradel"
"662","Brad Guzan"
"674","Leandro Bacuna"
"665","Micah Richards"
"875","Ciaran Clark"
"961","Jordan Amavi"
"668","Idrissa Gueye"
"669","Ashley Westwood"
"677","Jordan Veretout"
"672","Jordan Ayew"
"890","Gabriel Agbonlahor"
"679","Scott Sinclair"
"667","Carlos S�nchez"
"899","Kieran Richardson"
"671","Rudy Gestede"
"600","Tim Howard"
"585","Seamus Coleman"
"587","Phil Jagielka"
"586","John Stones"
"909","Brendan Galloway"
"589","James McCarthy"
"590","Gareth Barry"
"595","Kevin Mirallas"
"592","Ross Barkley"
"596","Tom Cleverley"
"594","Romelu Lukaku"
"601","Arouna Kon�"
"598","Bryan Oviedo"
"824","Steven Naismith"
"564","Heurelho Gomes"
"565","Nyom"
"566","Sebastian Pr�dl"
"581","Craig Cathcart"
"568","Jos� Holebas"
"577","Ikechi Anya"
"570","Valon Behrami"
"572","Etienne Capoue"
"1016","Miguel Lay�n"
"582","Jurado"
"574","Troy Deeney"
"571","Ben Watson"
"578","Juan Carlos Paredes"
"573","Odion Ighalo"
"745","Kasper Schmeichel"
"955","Ritchie de Laet"
"747","Robert Huth"
"748","Wes Morgan"
"757","Jeffrey Schlupp"
"753","Marc Albrighton"
"784","Andy King"
"752","Daniel Drinkwater"
"750","Riyad Mahrez"
"755","Jamie Vardy"
"754","Shinji Okazaki"
"751","N&#039;Golo Kant�"
"749","Christian Fuchs"
"974","Yohan Benalouane"
"580","Costel Pantilimon"
"742","Billy Jones"
"736","Younes Kaboul"
"927","Sebasti�n Coates"
"730","Patrick van Aanholt"
"738","Lee Cattermole"
"929","Adam Johnson"
"740","Sebastian Larsson"
"733","Jack Rodwell"
